projection_date,projected_months,mean,std,median,mean-1std,mean+1std,projected_date,actual_rate,actual_rate_direction,classification,mean_v_median,median_accuracy
2014-07-01,1,4.371951219512195,0.16883748861249845,4.5,4.203113730899696,4.540788708124694,2014-08-01,4.25,Increasing,Within 1 std,0.12804878048780477,0
2014-08-01,1,4.5376,0.1750798792053618,4.5,4.362520120794638,4.712679879205362,2014-09-01,4.5,Increasing,Within 1 std,0.0376000000000003,1
2014-09-01,1,4.565476190476191,0.11125015496733269,4.5,4.454226035508858,4.676726345443523,2014-10-01,4.5,Neutral,Within 1 std,0.06547619047619069,1
2014-10-01,1,4.51875,0.06668669570922964,4.5,4.45206330429077,4.585436695709229,2014-11-01,4.5,Neutral,Within 1 std,0.018749999999999822,1
2014-11-01,1,4.506944444444444,0.04166666666666671,4.5,4.465277777777777,4.548611111111111,2014-12-01,4.5,Neutral,Within 1 std,0.006944444444443754,1
2014-12-01,1,4.506756756756756,0.04109974682633936,4.5,4.465657009930417,4.547856503583096,2015-01-01,4.5,Neutral,Within 1 std,0.006756756756756133,1
2015-01-01,1,4.5060975609756095,0.03904344047215155,4.5,4.467054120503458,4.545141001447761,2015-02-01,4.5,Neutral,Within 1 std,0.0060975609756095395,1
2015-02-01,1,4.4941860465116275,0.03812464258315109,4.5,4.4560614039284765,4.532310689094778,2015-03-01,4.5,Neutral,Within 1 std,0.0058139534883725474,1
2015-03-01,1,4.535714285714286,0.13033059010750336,4.5,4.4053836956067824,4.666044875821789,2015-04-01,4.5,Neutral,Within 1 std,0.03571428571428559,1
2015-04-01,1,4.511904761904762,0.07715167498104603,4.5,4.434753086923716,4.589056436885808,2015-05-01,4.5,Neutral,Within 1 std,0.011904761904761862,1
2015-05-01,1,4.524390243902439,0.10904239497754552,4.5,4.415347848924894,4.6334326388799845,2015-06-01,4.5,Neutral,Within 1 std,0.024390243902439046,1
2015-06-01,1,4.5,0.0,4.5,4.5,4.5,2015-07-01,4.5,Neutral,Within 1 std,0.0,1
2015-07-01,1,4.5,0.0,4.5,4.5,4.5,2015-08-01,4.5,Neutral,Within 1 std,0.0,1
2015-08-01,1,4.523809523809524,0.1077701343522607,4.5,4.416039389457263,4.631579658161784,2015-09-01,4.5,Neutral,Within 1 std,0.023809523809523725,1
2015-09-01,1,4.713414634146342,0.21331443640899675,4.75,4.500100197737345,4.926729070555338,2015-10-01,4.75,Increasing,Within 1 std,0.036585365853658125,1
2015-10-01,1,5.114864864864865,0.182522778207446,5.0,4.932342086657419,5.297387643072311,2015-11-01,4.75,Neutral,Below Mean - 1 std,0.11486486486486491,0
2015-11-01,1,5.676829268292682,0.2321361564296938,5.75,5.444693111862988,5.908965424722376,2015-12-01,5.5,Increasing,Within 1 std,0.07317073170731803,0
2015-12-01,1,5.924418604651163,0.19314813369636158,6.0,5.731270470954802,6.1175667383475245,2016-01-01,5.75,Increasing,Within 1 std,0.0755813953488369,0
2016-01-01,1,6.203488372093023,0.11254382682675508,6.25,6.090944545266268,6.316032198919778,2016-02-01,6.0,Increasing,Below Mean - 1 std,0.04651162790697683,0
2016-02-01,1,6.553571428571428,0.187536291493614,6.5,6.366035137077814,6.741107720065042,2016-03-01,6.25,Increasing,Below Mean - 1 std,0.05357142857142794,0
2016-03-01,1,6.670454545454546,0.11778882454698623,6.75,6.55266572090756,6.788243370001532,2016-04-01,6.5,Increasing,Below Mean - 1 std,0.07954545454545414,0
2016-04-01,1,7.022093023255814,0.15287028643256861,7.000000000000001,6.869222736823246,7.1749633096883825,2016-05-01,6.5,Neutral,Below Mean - 1 std,0.022093023255813193,0
2016-05-01,1,7.2562500000000005,0.20791624916457713,7.249999999999999,7.048333750835424,7.4641662491645775,2016-06-01,7.25,Increasing,Within 1 std,0.006250000000001421,0
2016-06-01,1,7.482142857142857,0.1501306051618784,7.5,7.332012251980978,7.6322734623047355,2016-07-01,7.5,Increasing,Within 1 std,0.017857142857143238,1
2016-07-01,1,7.726190476190477,0.18153750376420438,7.75,7.544652972426273,7.907727979954681,2016-08-01,7.75,Increasing,Within 1 std,0.023809523809522837,1
2016-08-01,1,7.83695652173913,0.14159205196176794,7.75,7.6953644697773615,7.978548573700898,2016-09-01,7.75,Neutral,Within 1 std,0.08695652173912993,1
2016-09-01,1,7.721590909090908,0.09668801858911596,7.75,7.624902890501792,7.818278927680025,2016-10-01,7.75,Neutral,Within 1 std,0.028409090909091717,1
2016-10-01,1,7.709302325581395,0.1081532279164549,7.75,7.60114909766494,7.81745555349785,2016-11-01,7.75,Neutral,Within 1 std,0.04069767441860517,1
2016-11-01,1,7.662790697674418,0.15317785463147637,7.75,7.509612843042942,7.815968552305894,2016-12-01,7.75,Neutral,Within 1 std,0.087209302325582,1
2016-12-01,1,7.619047619047619,0.15848073705842958,7.75,7.460566881989189,7.777528356106048,2017-01-01,7.5,Decreasing,Within 1 std,0.13095238095238138,0
2017-01-01,1,7.075000000000001,0.18946618668626797,7.000000000000001,6.885533813313733,7.264466186686269,2017-02-01,7.5,Neutral,Above Mean + 1 std,0.07500000000000018,0
2017-02-01,1,7.23780487804878,0.2161540214190095,7.249999999999999,7.021650856629771,7.453958899467789,2017-03-01,7.25,Decreasing,Within 1 std,0.012195121951219079,0
2017-03-01,1,6.825,0.17171831436157142,6.75,6.6532816856384285,6.996718314361572,2017-04-01,7.0,Decreasing,Above Mean + 1 std,0.07500000000000018,0
2017-04-01,1,6.461538461538462,0.13497638119975439,6.5,6.326562080338707,6.596514842738216,2017-05-01,7.0,Neutral,Above Mean + 1 std,0.038461538461538325,0
2017-05-01,1,5.9833333333333325,0.16341525465679585,6.0,5.819918078676537,6.146748587990128,2017-06-01,6.25,Decreasing,Above Mean + 1 std,0.016666666666667496,0
2017-06-01,1,5.686046511627907,0.16450704913082606,5.75,5.521539462497081,5.850553560758733,2017-07-01,6.25,Neutral,Above Mean + 1 std,0.06395348837209269,0
2017-07-01,1,5.284883720930233,0.12888481555661607,5.25,5.155998905373616,5.413768536486849,2017-08-01,5.5,Decreasing,Above Mean + 1 std,0.03488372093023262,0
2017-08-01,1,5.186046511627907,0.12311704719075289,5.25,5.062929464437154,5.3091635588186605,2017-09-01,5.25,Decreasing,Within 1 std,0.06395348837209269,1
2017-09-01,1,5.151162790697674,0.12367794780387863,5.25,5.027484842893795,5.2748407385015526,2017-10-01,5.25,Neutral,Within 1 std,0.0988372093023262,1
2017-10-01,1,5.21111111111111,0.09163222493459719,5.25,5.1194788861765135,5.302743336045707,2017-11-01,5.0,Decreasing,Below Mean - 1 std,0.03888888888888964,0
2017-11-01,1,4.930232558139535,0.1372083638310906,5.0,4.793024194308444,5.067440921970626,2017-12-01,4.75,Decreasing,Below Mean - 1 std,0.06976744186046524,0
2017-12-01,1,4.55952380952381,0.1440858886973979,4.5,4.415437920826412,4.703609698221208,2018-01-01,4.75,Neutral,Above Mean + 1 std,0.0595238095238102,0
2018-01-01,1,4.658536585365854,0.12191310379958682,4.75,4.536623481566267,4.780449689165441,2018-02-01,4.5,Decreasing,Below Mean - 1 std,0.09146341463414576,0
2018-02-28,1,4.451219512195122,0.10030441470721052,4.5,4.350915097487912,4.551523926902332,2018-03-28,4.5,Neutral,Within 1 std,0.04878048780487809,1
2018-03-31,1,4.28125,0.15177898067373793,4.25,4.129471019326262,4.433028980673738,2018-04-30,4.25,Decreasing,Within 1 std,0.03125,1
2018-04-30,1,4.267857142857142,0.08541250591832154,4.25,4.182444636938821,4.353269648775464,2018-05-30,4.25,Neutral,Within 1 std,0.01785714285714235,1
2018-05-31,1,4.174418604651163,0.11617520277952527,4.25,4.058243401871638,4.290593807430688,2018-06-30,4.25,Neutral,Within 1 std,0.0755813953488369,1
2018-06-30,1,4.219512195121951,0.08282364455613499,4.25,4.136688550565816,4.302335839678086,2018-07-30,4.25,Neutral,Within 1 std,0.030487804878048586,1
2018-07-31,1,4.244186046511628,0.0381246425831512,4.25,4.206061403928477,4.282310689094779,2018-08-31,4.25,Neutral,Within 1 std,0.005813953488371659,1
2018-08-31,1,4.237804878048782,0.05452119748877276,4.25,4.183283680560009,4.292326075537555,2018-09-30,4.25,Neutral,Within 1 std,0.01219512195121819,1
2018-09-30,1,4.25,0.0,4.25,4.25,4.25,2018-10-30,4.25,Neutral,Within 1 std,0.0,1
2018-10-31,1,4.25,0.0,4.25,4.25,4.25,2018-11-30,4.25,Neutral,Within 1 std,0.0,1
2018-11-30,1,4.2562500000000005,0.039528470752104666,4.25,4.216721529247896,4.295778470752105,2018-12-30,4.25,Neutral,Within 1 std,0.006250000000000533,1
2018-12-31,1,4.25609756097561,0.03904344047215144,4.25,4.217054120503459,4.295141001447762,2019-01-31,4.25,Neutral,Within 1 std,0.006097560975610428,1
2019-01-31,1,4.25,0.0,4.25,4.25,4.25,2019-02-28,4.25,Neutral,Within 1 std,0.0,1
2019-02-28,1,4.2625,0.055180356965787956,4.25,4.207319643034213,4.317680356965788,2019-03-28,4.25,Neutral,Within 1 std,0.012500000000000178,1
2019-03-31,1,4.2562500000000005,0.039528470752104666,4.25,4.216721529247896,4.295778470752105,2019-04-30,4.25,Neutral,Within 1 std,0.006250000000000533,1
2019-04-30,1,4.2562500000000005,0.039528470752104666,4.25,4.216721529247896,4.295778470752105,2019-05-30,4.25,Neutral,Within 1 std,0.006250000000000533,1
2019-05-31,1,4.26219512195122,0.054521197488772606,4.25,4.207673924462448,4.316716319439992,2019-06-30,4.25,Neutral,Within 1 std,0.012195121951219967,1
2019-06-30,1,4.2562500000000005,0.039528470752104666,4.25,4.216721529247896,4.295778470752105,2019-07-30,4.25,Neutral,Within 1 std,0.006250000000000533,1
2019-07-31,1,4.25,0.0,4.25,4.25,4.25,2019-08-31,4.25,Neutral,Within 1 std,0.0,1
2019-08-31,1,4.267441860465117,0.06444240777830826,4.25,4.202999452686808,4.331884268243425,2019-09-30,4.25,Neutral,Within 1 std,0.017441860465116754,1
